deployment_status,experiment,task,model,model_file,feature_count,selection_basis,split,fit_seconds,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,brier,mae,rmse,r2,metrics_source
deployed,parking_only,early_warning_classifier,random_forest,models/random_forest_classifier.joblib,12,highest validation F1; validation PR-AUC then lower validation Brier as tie-breakers,validation,0.9648219999944558,0.20999999999999996,0.984766050054407,0.6571428571428571,0.7752808988764045,0.711340206185567,0.9930491819711003,0.7896989492688841,0.010991677925424891,,,,artifacts/metrics.json
deployed,parking_only,early_warning_classifier,random_forest,models/random_forest_classifier.joblib,12,highest validation F1; validation PR-AUC then lower validation Brier as tie-breakers,test,0.9648219999944558,0.20999999999999996,0.9898027045001109,0.6666666666666666,0.6857142857142857,0.676056338028169,0.9928040660082993,0.7740853038804862,0.0072335623120045305,,,,artifacts/metrics.json
deployed,parking_only,occupancy_regressor,catboost_regressor,models/catboost_regressor.cbm,12,current deployed 30-minute occupancy regressor,validation,34.896297300001606,,,,,,,,,17.14184046000007,28.320432081852836,0.9985086850871969,artifacts/metrics.json
deployed,parking_only,occupancy_regressor,catboost_regressor,models/catboost_regressor.cbm,12,current deployed 30-minute occupancy regressor,test,34.896297300001606,,,,,,,,,18.780024168553897,34.65749382827745,0.9978462299057438,artifacts/metrics.json
experimental,parking_only,early_warning_classifier,catboost,not_retained_reproducible,12,not deployed; retained classifier experiment,validation,13.479360199999064,0.23999999999999994,0.984766050054407,0.6736842105263158,0.7191011235955056,0.6956521739130435,0.9929176207465785,0.7852872234538903,0.010656221461213361,,,,artifacts/metrics.json
experimental,parking_only,early_warning_classifier,catboost,not_retained_reproducible,12,not deployed; retained classifier experiment,test,13.479360199999064,0.23999999999999994,0.9898027045001109,0.7,0.6,0.6461538461538462,0.9935021069900601,0.7641905488867621,0.007396517586346769,,,,artifacts/metrics.json
experimental,parking_only,early_warning_classifier,logistic,not_retained_reproducible,12,not deployed; retained classifier experiment,validation,0.1054186999972444,0.14999999999999997,0.9768770402611534,0.5140845070422535,0.8202247191011236,0.6320346320346321,0.9892464361004,0.7486626033576076,0.011884304278172483,,,,artifacts/metrics.json
experimental,parking_only,early_warning_classifier,logistic,not_retained_reproducible,12,not deployed; retained classifier experiment,test,0.1054186999972444,0.14999999999999997,0.9869208601197074,0.5578947368421052,0.7571428571428571,0.6424242424242425,0.983218065429279,0.6663788000171377,0.008399898754102108,,,,artifacts/metrics.json
baseline,parking_only,early_warning_classifier,persistence_classifier,,12,comparison baseline only,test,0.0,0.9,0.9844823764132121,0.0,0.0,0.0,0.9550197831891144,0.2626417276681934,0.28083731043492743,,,,artifacts/metrics.json
experimental,parking_only,occupancy_regressor,rf_regressor,not_retained_reproducible,12,not deployed; retained regression experiment,validation,4.266613400002825,,,,,,,,,17.779524677777825,31.98178280622254,0.9980981557415842,artifacts/metrics.json
experimental,parking_only,occupancy_regressor,rf_regressor,not_retained_reproducible,12,not deployed; retained regression experiment,test,4.266613400002825,,,,,,,,,19.46112124490675,37.12766153840976,0.9975282745694307,artifacts/metrics.json
baseline,parking_only,occupancy_regressor,persistence_regressor,,12,comparison baseline only,test,0.0,,,,,,,,,49.36856146111225,89.36105937652903,0.9856813639413954,artifacts/metrics.json
experimental,parking_plus_traffic,early_warning_classifier,logistic,not_retained_reproducible,20,not selected within experimental traffic-context comparison,validation,0.19069719999970403,0.23999999999999994,0.9836779107725789,0.6464646464646465,0.7191011235955056,0.6808510638297872,0.9893811297350295,0.7599472004315385,0.011759375138661472,,,,artifacts/traffic_context_experiments/model_comparison.csv
experimental,parking_plus_traffic,early_warning_classifier,logistic,not_retained_reproducible,20,not selected within experimental traffic-context comparison,test,0.19069719999970403,0.23999999999999994,0.9871425404566615,0.5833333333333334,0.6,0.5915492957746479,0.9832759674461994,0.6703933382733933,0.008468408687061982,,,,artifacts/traffic_context_experiments/model_comparison.csv
experimental,parking_plus_traffic,early_warning_classifier,random_forest,not_retained_reproducible,20,selected within experimental traffic-context comparison; not deployed,validation,1.4503451000055065,0.15999999999999998,0.9825897714907508,0.5954198473282443,0.8764044943820225,0.7090909090909091,0.9928612373646407,0.7688700198535543,0.011405605971664314,,,,artifacts/traffic_context_experiments/model_comparison.csv
experimental,parking_plus_traffic,early_warning_classifier,random_forest,not_retained_reproducible,20,selected within experimental traffic-context comparison; not deployed,test,1.4503451000055065,0.15999999999999998,0.9873642207936156,0.5698924731182796,0.7571428571428571,0.6503067484662577,0.9928941358123974,0.7551351308579999,0.007576442495318575,,,,artifacts/traffic_context_experiments/model_comparison.csv
experimental,parking_plus_traffic,early_warning_classifier,catboost,not_retained_reproducible,20,not selected within experimental traffic-context comparison,validation,19.03938869999547,0.19999999999999996,0.983949945593036,0.65,0.7303370786516854,0.6878306878306878,0.9926701603480734,0.7750166237475259,0.010864653903366333,,,,artifacts/traffic_context_experiments/model_comparison.csv
experimental,parking_plus_traffic,early_warning_classifier,catboost,not_retained_reproducible,20,not selected within experimental traffic-context comparison,test,19.03938869999547,0.19999999999999996,0.9895810241631567,0.6716417910447762,0.6428571428571429,0.656934306569343,0.9939749734615756,0.7775146225830254,0.007147983567265783,,,,artifacts/traffic_context_experiments/model_comparison.csv
