experiment,model,selected_model,split,feature_count,row_count,positive_rows,fit_seconds,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,brier
parking_only,logistic,False,validation,12,3676,89,0.270583199991961,0.2799999999999999,0.9834058759521219,0.6555555555555556,0.6629213483146067,0.659217877094972,0.9892464361004,0.7486626033576076,0.011884304278172483
parking_only,logistic,False,test,12,4511,70,0.270583199991961,0.2799999999999999,0.988250942141432,0.6349206349206349,0.5714285714285714,0.6015037593984962,0.983218065429279,0.6663788000171377,0.008399898754102108
parking_only,random_forest,True,validation,12,3676,89,1.3781232000037562,0.20999999999999996,0.984766050054407,0.6571428571428571,0.7752808988764045,0.711340206185567,0.9930491819711003,0.7896989492688841,0.010991677925424891
parking_only,random_forest,True,test,12,4511,70,1.3781232000037562,0.20999999999999996,0.9898027045001109,0.6666666666666666,0.6857142857142857,0.676056338028169,0.9928040660082993,0.7740853038804862,0.0072335623120045305
parking_only,catboost,False,validation,12,3676,89,17.358785899996292,0.23999999999999994,0.984766050054407,0.6736842105263158,0.7191011235955056,0.6956521739130435,0.9929176207465785,0.7852872234538903,0.010656221461213361
parking_only,catboost,False,test,12,4511,70,17.358785899996292,0.23999999999999994,0.9898027045001109,0.7,0.6,0.6461538461538462,0.9935021069900601,0.7641905488867621,0.007396517586346769
parking_plus_traffic,logistic,False,validation,20,3676,89,0.19069719999970403,0.23999999999999994,0.9836779107725789,0.6464646464646465,0.7191011235955056,0.6808510638297872,0.9893811297350295,0.7599472004315385,0.011759375138661472
parking_plus_traffic,logistic,False,test,20,4511,70,0.19069719999970403,0.23999999999999994,0.9871425404566615,0.5833333333333334,0.6,0.5915492957746479,0.9832759674461994,0.6703933382733933,0.008468408687061982
parking_plus_traffic,random_forest,True,validation,20,3676,89,1.4503451000055065,0.15999999999999998,0.9825897714907508,0.5954198473282443,0.8764044943820225,0.7090909090909091,0.9928612373646407,0.7688700198535543,0.011405605971664314
parking_plus_traffic,random_forest,True,test,20,4511,70,1.4503451000055065,0.15999999999999998,0.9873642207936156,0.5698924731182796,0.7571428571428571,0.6503067484662577,0.9928941358123974,0.7551351308579999,0.007576442495318575
parking_plus_traffic,catboost,False,validation,20,3676,89,19.03938869999547,0.19999999999999996,0.983949945593036,0.65,0.7303370786516854,0.6878306878306878,0.9926701603480734,0.7750166237475259,0.010864653903366333
parking_plus_traffic,catboost,False,test,20,4511,70,19.03938869999547,0.19999999999999996,0.9895810241631567,0.6716417910447762,0.6428571428571429,0.656934306569343,0.9939749734615756,0.7775146225830254,0.007147983567265783
